player,web_name,position,points_2425,gw1_28,gw29_38,acceleration,f10_points,f10_minutes,code,player_id,position_group
Jarrod Bowen,Bowen,MID,193,120.0,73,3.0142857142857142,44.0,900.0,178186,624.0,MID/FWD
Bryan Mbeumo,Mbeumo,MID,236,173.0,63,0.121428571428571,53.0,865.0,446008,119.0,MID/FWD
Eberechi Eze,Eze,MID,148,86.0,62,3.1285714285714286,39.0,613.0,232413,266.0,MID/FWD
Yoane Wissa,Wissa,FWD,185,124.0,61,1.6714285714285708,0.0,0.0,216646,135.0,MID/FWD
Jacob Murphy,J.Murphy,MID,159,101.0,58,2.1928571428571426,34.0,490.0,114243,489.0,MID/FWD
Jørgen Strand Larsen,Strand Larsen,FWD,145,87.0,58,2.6928571428571426,19.0,617.0,247412,654.0,MID/FWD
Harvey Barnes,Barnes,MID,130,73.0,57,3.092857142857143,15.0,388.0,201666,487.0,MID/FWD
Leandro Trossard,Trossard,MID,152,97.0,55,2.0357142857142856,31.0,552.0,116216,20.0,MID/FWD
Antoine Semenyo,Semenyo,MID,165,110.0,55,1.5714285714285716,75.0,900.0,437730,82.0,MID/FWD
Fabian Schär,Schär,DEF,118,66.0,52,2.842857142857143,25.0,424.0,119471,474.0,DEF/GK
Anthony Elanga,Elanga,MID,153,102.0,51,1.4571428571428569,15.0,398.0,449434,486.0,MID/FWD
Sandro Tonali,Tonali,MID,106,56.0,50,3.0,28.0,793.0,432422,491.0,MID/FWD
Ilkay Gündogan,Gündogan,MID,97,48.0,49,3.185714285714286,0.0,0.0,59859,420.0,MID/FWD
Joško Gvardiol,Gvardiol,DEF,153,105.0,48,1.0499999999999998,28.0,519.0,477424,403.0,DEF/GK
Morgan Rogers,Rogers,MID,161,113.0,48,0.7642857142857142,33.0,891.0,244850,47.0,MID/FWD
Rúben Gato Alves Dias,Rúben,DEF,90,43.0,47,3.1642857142857146,39.0,815.0,171314,408.0,DEF/GK
Kevin Schade,Schade,MID,149,102.0,47,1.0571428571428574,32.0,830.0,513418,120.0,MID/FWD
Rayan Aït-Nouri,Aït-Nouri,DEF,125,78.0,47,1.9142857142857146,11.0,203.0,448514,402.0,DEF/GK
Omar Marmoush,Marmoush,FWD,73,26.0,47,3.7714285714285714,11.0,162.0,438234,413.0,MID/FWD
Nick Pope,Pope,GK,102,56.0,46,2.5999999999999996,49.0,900.0,98747,469.0,DEF/GK
Jordan Pickford,Pickford,GK,158,113.0,45,0.4642857142857144,35.0,900.0,111234,287.0,DEF/GK
Martin Ødegaard,Ødegaard,MID,116,71.0,45,1.9642857142857144,13.0,201.0,184029,17.0,MID/FWD
Luis Díaz,Luis Díaz,MID,183,138.0,45,-0.4285714285714288,0.0,0.0,244731,383.0,MID/FWD
Ryan Sessegnon,Sessegnon,DEF,57,13.0,44,3.935714285714286,43.0,746.0,184349,328.0,DEF/GK
Christian Nørgaard,Nørgaard,MID,107,63.0,44,2.1500000000000004,2.0,14.0,128295,24.0,MID/FWD
Jack Hinshelwood,Hinshelwood,MID,89,45.0,44,2.792857142857143,4.0,107.0,532529,163.0,MID/FWD
Ezri Konsa Ngoyo,Konsa,DEF,103,59.0,44,2.292857142857143,27.0,785.0,199798,38.0,DEF/GK
Enzo Fernández,Enzo,MID,135,91.0,44,1.1500000000000004,45.0,798.0,448047,237.0,MID/FWD
Robert Sánchez,Sánchez,GK,126,83.0,43,1.3357142857142854,31.0,814.0,215059,220.0,DEF/GK
Dan Burn,Burn,DEF,115,73.0,42,1.592857142857143,48.0,900.0,78916,476.0,DEF/GK
Marc Cucurella Saseta,Cucurella,DEF,133,91.0,42,0.9500000000000002,43.0,806.0,179268,224.0,DEF/GK
Alexander Isak,Isak,FWD,211,169.0,42,-1.8357142857142854,10.0,250.0,219168,499.0,MID/FWD
Morgan Gibbs-White,Gibbs-White,MID,154,113.0,41,0.06428571428571406,30.0,819.0,222531,515.0,MID/FWD
Aaron Ramsdale,Ramsdale,GK,97,56.0,41,2.0999999999999996,0.0,0.0,225321,674.0,DEF/GK
Francisco Evanilson de Lima Barbosa,Evanilson,FWD,128,87.0,41,0.9928571428571424,23.0,645.0,444102,97.0,MID/FWD
Declan Rice,Rice,MID,127,86.0,41,1.028571428571428,63.0,803.0,204480,21.0,MID/FWD
Tino Livramento,Livramento,DEF,105,65.0,40,1.6785714285714284,37.0,526.0,441191,477.0,DEF/GK
Bruno Borges Fernandes,B.Fernandes,MID,174,135.0,39,-0.9214285714285713,45.0,890.0,141746,449.0,MID/FWD
Nathan Collins,Collins,DEF,127,88.0,39,0.7571428571428571,30.0,900.0,432830,106.0,DEF/GK
Alex Iwobi,Iwobi,MID,156,117.0,39,-0.2785714285714289,38.0,809.0,153133,324.0,MID/FWD
Ollie Watkins,Watkins,FWD,186,147.0,39,-1.35,25.0,786.0,178301,64.0,MID/FWD
Levi Colwill,Colwill,DEF,109,71.0,38,1.2642857142857142,0.0,0.0,460028,227.0,DEF/GK
Kieran Trippier,Trippier,DEF,72,34.0,38,2.5857142857142854,30.0,609.0,77794,478.0,DEF/GK
Emiliano Martínez Romero,Martinez,GK,111,73.0,38,1.1928571428571426,26.0,720.0,98980,32.0,DEF/GK
