position,player,points_2425,gw1_28,gw29_38
MID,Mohamed Salah,344,306,38
MID,Bryan Mbeumo,236,173,63
MID,Cole Palmer,214,181,33
FWD,Alexander Isak,211,169,42
FWD,Chris Wood,200,172,28
MID,Jarrod Bowen,193,120,73
FWD,Ollie Watkins,186,147,39
FWD,Yoane Wissa,185,124,61
MID,Luis Díaz,183,138,45
FWD,Erling Haaland,181,164,17
FWD,Matheus Santos Carneiro Da Cunha,178,143,35
MID,Bruno Borges Fernandes,174,135,39
MID,Antoine Semenyo,165,110,55
MID,Morgan Rogers,161,113,48
MID,Jacob Murphy,159,101,58
GK,Jordan Pickford,158,113,45
MID,Justin Kluivert,158,145,13
MID,Alex Iwobi,156,117,39
MID,Morgan Gibbs-White,154,113,41
MID,Anthony Elanga,153,102,51
DEF,Joško Gvardiol,153,105,48
MID,Leandro Trossard,152,97,55
FWD,Jean-Philippe Mateta,150,123,27
GK,Matz Sels,150,124,26
MID,Ismaïla Sarr,149,113,36
MID,Kevin Schade,149,102,47
MID,Eberechi Eze,148,86,62
DEF,Trent Alexander-Arnold,148,135,13
FWD,Raúl Jiménez,147,116,31
FWD,Jørgen Strand Larsen,145,87,58
MID,Mitoma Kaoru,145,117,28
DEF,Nikola Milenković,145,109,36
MID,Dominik Szoboszlai,143,111,32
DEF,Virgil van Dijk,143,108,35
DEF,Daniel Muñoz,142,112,30
GK,David Raya Martin,142,111,31
GK,Mark Flekken,138,93,45
MID,Brennan Johnson,137,107,30
MID,Bruno Guimarães Rodriguez Moura,135,103,32
GK,Dean Henderson,135,106,29
MID,Enzo Fernández,135,91,44
DEF,Milos Kerkez,134,101,33
MID,James Maddison,133,117,16
DEF,Marc Cucurella Saseta,133,91,42
FWD,Liam Delap,132,106,26
MID,Mikkel Damsgaard,131,106,25
MID,Harvey Barnes,130,73,57
DEF,Murillo Santiago Costa dos Santos,130,101,29
DEF,William Saliba,130,105,25
MID,Amad Diallo,129,107,22
MID,Son Heung-min,129,122,7
FWD,Francisco Evanilson de Lima Barbosa,128,87,41
FWD,Jamie Vardy,128,98,30
DEF,Ola Aina,128,121,7
MID,Bukayo Saka,127,107,20
FWD,Cody Gakpo,127,96,31
MID,Declan Rice,127,86,41
DEF,Nathan Collins,127,88,39
FWD,João Pedro Junqueira de Jesus,126,110,16
GK,Robert Sánchez,126,83,43
MID,Tomáš Souček,126,91,35
FWD,Danny Welbeck,125,91,34
MID,Gabriel Martinelli Silva,125,90,35
DEF,Rayan Aït-Nouri,125,78,47
MID,Anthony Gordon,124,113,11
DEF,Tyrick Mitchell,123,97,26
MID,Alexis Mac Allister,122,87,35
FWD,Nicolas Jackson,121,108,13
DEF,Vitalii Mykolenko,121,83,38
MID,Youri Tielemans,121,85,36
GK,André Onana,120,94,26
MID,Noni Madueke,120,100,20
DEF,Aaron Wan-Bissaka,118,86,32
DEF,Fabian Schär,118,66,52
MID,Dejan Kulusevski,117,110,7
DEF,Gabriel dos Santos Magalhães,117,111,6
DEF,Marc Guéhi,116,101,15
MID,Martin Ødegaard,116,71,45
GK,Bernd Leno,115,81,34
DEF,Dan Burn,115,73,42
MID,Emile Smith Rowe,114,92,22
FWD,Iliman Ndiaye,114,81,33
DEF,Jurriën Timber,114,92,22
MID,Kevin De Bruyne,114,75,39
DEF,Maxence Lacroix,114,93,21
GK,Alisson Ramses Becker,112,90,22
MID,Dango Ouattara,111,98,13
GK,Ederson Santana de Moraes,111,75,36
GK,Emiliano Martínez Romero,111,73,38
MID,Bernardo Veiga de Carvalho e Silva,110,75,35
DEF,Levi Colwill,109,71,38
MID,Mateo Kovačić,109,80,29
DEF,Neco Williams,109,83,26
FWD,Dominic Solanke-Mitchell,108,85,23
MID,Thomas Partey,108,83,25
MID,Christian Nørgaard,107,63,44
MID,Elliot Anderson,107,78,29
MID,Alejandro Garnacho,106,70,36
DEF,Antonee Robinson,106,91,15
DEF,Ibrahima Konaté,106,82,24
GK,Kepa Arrizabalaga,106,71,35
MID,Mohammed Kudus,106,72,34
MID,Sandro Tonali,106,56,50
MID,Sávio 'Savinho' Moreira de Oliveira,106,91,15
DEF,James Tarkowski,105,93,12
MID,Phil Foden,105,98,7
DEF,Tino Livramento,105,65,40
DEF,Dean Huijsen,104,70,34
MID,Pedro Lomba Neto,104,68,36
GK,Bart Verbruggen,103,82,21
MID,Callum Hudson-Odoi,103,92,11
